"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"LUPIN","EQ","28-Nov-2017","        831.45","        831.45","        839.90","        831.00","        831.90","        832.30","        834.91","    1044438","           872007811.50","      32446"
"LUPIN","EQ","29-Nov-2017","        832.30","        833.10","        839.45","        832.50","        833.80","        834.65","        835.85","     788695","           659228301.85","      26273"
"LUPIN","EQ","30-Nov-2017","        834.65","        832.80","        833.90","        815.00","        816.00","        817.70","        821.56","    3637833","          2988695838.05","      99108"
"LUPIN","EQ","01-Dec-2017","        817.70","        822.10","        823.25","        811.10","        814.25","        814.20","        815.90","    1747415","          1425710031.65","      51688"
"LUPIN","EQ","04-Dec-2017","        814.20","        819.70","        819.90","        809.05","        814.20","        814.45","        814.88","    1037841","           845719449.50","      34918"
"LUPIN","EQ","05-Dec-2017","        814.45","        812.80","        819.00","        807.00","        808.65","        808.95","        809.99","    1034003","           837530335.10","      52425"
"LUPIN","EQ","06-Dec-2017","        808.95","        808.80","        813.40","        806.25","        809.50","        809.35","        810.34","     833724","           675603857.30","      44453"
"LUPIN","EQ","07-Dec-2017","        809.35","        811.00","        824.00","        810.40","        819.80","        818.90","        818.45","    1536602","          1257637645.95","      71166"
"LUPIN","EQ","08-Dec-2017","        818.90","        814.50","        829.00","        811.00","        823.70","        822.85","        822.37","    1754006","          1442435720.95","      64925"
"LUPIN","EQ","11-Dec-2017","        822.85","        828.00","        842.00","        825.05","        839.90","        839.15","        836.62","    1633544","          1366659609.45","      64337"
"LUPIN","EQ","12-Dec-2017","        839.15","        841.60","        853.45","        840.00","        847.50","        846.80","        847.88","    2487565","          2109165794.90","      67525"
"LUPIN","EQ","13-Dec-2017","        846.80","        848.75","        856.00","        841.05","        845.60","        845.25","        848.99","    2061866","          1750494187.45","      68669"
"LUPIN","EQ","14-Dec-2017","        845.25","        845.65","        855.95","        843.60","        852.50","        852.80","        850.43","    1607943","          1367446159.90","      35984"
"LUPIN","EQ","15-Dec-2017","        852.80","        858.50","        869.00","        855.00","        861.00","        860.30","        861.52","    3114671","          2683357725.15","      68123"
"LUPIN","EQ","18-Dec-2017","        860.30","        865.00","        875.00","        843.10","        868.00","        867.15","        865.83","    1539705","          1333120560.65","      33971"
"LUPIN","EQ","19-Dec-2017","        867.15","        869.70","        872.00","        860.10","        866.95","        867.05","        864.87","     984692","           851629358.65","      27441"
"LUPIN","EQ","20-Dec-2017","        867.05","        867.00","        888.80","        863.10","        875.00","        874.30","        880.20","    2218529","          1952755997.30","      75006"
"LUPIN","EQ","21-Dec-2017","        874.30","        878.45","        885.60","        876.00","        880.00","        878.85","        880.29","    1039753","           915286836.60","      30847"
"LUPIN","EQ","22-Dec-2017","        878.85","        880.00","        883.00","        868.00","        871.10","        871.65","        871.74","    1536820","          1339713741.65","      52191"
"LUPIN","EQ","26-Dec-2017","        871.65","        872.00","        876.40","        864.35","        870.70","        872.20","        871.07","    1383753","          1205348629.90","      74851"
"LUPIN","EQ","27-Dec-2017","        872.20","        872.95","        885.20","        870.00","        876.00","        875.10","        877.81","    3710542","          3257140183.85","      85610"
"LUPIN","EQ","28-Dec-2017","        875.10","        877.90","        889.00","        875.15","        884.65","        880.55","        882.92","    2380146","          2101489851.90","      48703"
"LUPIN","EQ","29-Dec-2017","        880.55","        895.00","        899.90","        881.55","        887.05","        885.10","        889.65","    2616172","          2327484400.20","      54021"
"LUPIN","EQ","01-Jan-2018","        885.10","        889.50","        892.00","        880.20","        885.50","        883.25","        887.00","    1032734","           916037073.65","      24856"
"LUPIN","EQ","02-Jan-2018","        883.25","        887.90","        888.00","        871.25","        875.00","        875.15","        877.76","    1199522","          1052887753.90","      50007"
"LUPIN","EQ","03-Jan-2018","        875.15","        878.70","        884.85","        872.85","        878.70","        878.95","        879.71","    3960088","          3483741954.80","      55567"
"LUPIN","EQ","04-Jan-2018","        878.95","        880.25","        882.70","        870.05","        878.70","        878.15","        876.60","    1924978","          1687444189.75","      45242"
"LUPIN","EQ","05-Jan-2018","        878.15","        880.00","        904.40","        876.00","        900.80","        900.15","        892.44","    2694063","          2404280097.50","      63187"
"LUPIN","EQ","08-Jan-2018","        900.15","        906.40","        927.00","        905.00","        922.50","        923.30","        920.94","    3798830","          3498511536.80","      73889"
"LUPIN","EQ","09-Jan-2018","        923.30","        924.45","        932.50","        915.15","        922.00","        923.25","        925.03","    1729594","          1599933395.45","      32944"
"LUPIN","EQ","10-Jan-2018","        923.25","        923.25","        933.00","        915.05","        926.80","        925.80","        924.72","    1583387","          1464186649.35","      37551"
"LUPIN","EQ","11-Jan-2018","        925.80","        929.65","        934.95","        925.65","        928.70","        929.20","        930.06","     915764","           851713865.80","      26750"
"LUPIN","EQ","12-Jan-2018","        929.20","        931.00","        937.00","        908.25","        916.40","        919.10","        923.15","    1291426","          1192174610.10","      31877"
"LUPIN","EQ","15-Jan-2018","        919.10","        919.90","        924.70","        914.00","        914.95","        916.55","        919.26","     614597","           564971982.15","      22090"
"LUPIN","EQ","16-Jan-2018","        916.55","        920.00","        924.10","        905.00","        908.00","        906.75","        913.56","     963028","           879782061.20","      30849"
"LUPIN","EQ","17-Jan-2018","        906.75","        908.00","        920.50","        894.45","        918.15","        919.35","        911.98","    1479797","          1349541098.75","      39525"
"LUPIN","EQ","18-Jan-2018","        919.35","        923.85","        927.00","        915.35","        921.00","        921.05","        922.46","    2318124","          2138379122.40","      40832"
"LUPIN","EQ","19-Jan-2018","        921.05","        925.00","        926.00","        906.40","        923.00","        924.10","        919.00","    1343268","          1234469499.45","      30115"
"LUPIN","EQ","22-Jan-2018","        924.10","        925.00","        933.00","        918.55","        930.00","        930.05","        928.75","    1132432","          1051742126.65","      28304"
"LUPIN","EQ","23-Jan-2018","        930.05","        930.10","        941.40","        926.10","        937.00","        937.35","        935.22","    1507345","          1409703497.00","      40377"
"LUPIN","EQ","24-Jan-2018","        937.35","        937.00","        962.00","        933.35","        961.00","        959.05","        951.28","    1976531","          1880225663.30","      56285"
"LUPIN","EQ","25-Jan-2018","        959.05","        966.00","        970.00","        945.15","        950.10","        949.65","        955.30","    2611485","          2494757185.10","      65089"
"LUPIN","EQ","29-Jan-2018","        949.65","        949.65","        954.00","        908.00","        909.70","        912.20","        925.78","    1520775","          1407907695.70","      47390"
"LUPIN","EQ","30-Jan-2018","        912.20","        911.40","        913.55","        897.65","        903.00","        902.75","        904.87","     941196","           851655511.25","      27206"
"LUPIN","EQ","31-Jan-2018","        902.75","        900.00","        901.70","        876.00","        882.80","        883.75","        885.49","    1590192","          1408102113.90","      51224"
"LUPIN","EQ","01-Feb-2018","        883.75","        883.95","        886.25","        852.20","        860.80","        860.40","        866.36","    1834018","          1588927024.60","      70120"
"LUPIN","EQ","02-Feb-2018","        860.40","        860.80","        878.50","        845.00","        846.00","        847.00","        860.84","    2532888","          2180421603.85","      73198"
"LUPIN","EQ","05-Feb-2018","        847.00","        843.00","        857.50","        834.00","        851.00","        849.10","        847.40","    1407031","          1192312504.25","      35371"
"LUPIN","EQ","06-Feb-2018","        849.10","        824.00","        834.90","        789.40","        790.05","        800.90","        812.96","    4675402","          3800913822.80","     106666"
"LUPIN","EQ","07-Feb-2018","        800.90","        796.00","        813.50","        781.80","        804.40","        806.05","        799.28","    5037897","          4026697372.40","     107906"
"LUPIN","EQ","08-Feb-2018","        806.05","        809.90","        816.00","        800.00","        814.00","        812.45","        810.45","    2057573","          1667554010.20","      46556"
"LUPIN","EQ","09-Feb-2018","        812.45","        804.00","        829.30","        799.00","        821.50","        822.15","        820.18","    2767071","          2269496381.30","      70950"
"LUPIN","EQ","12-Feb-2018","        822.15","        828.80","        847.00","        825.50","        841.00","        840.45","        838.62","    1781070","          1493640121.20","      39071"
"LUPIN","EQ","14-Feb-2018","        840.45","        847.65","        847.65","        825.00","        826.00","        827.60","        832.81","    1135323","           945507423.35","      33218"
"LUPIN","EQ","15-Feb-2018","        827.60","        830.00","        832.30","        819.00","        822.20","        822.30","        823.27","     872676","           718445477.65","      23599"
"LUPIN","EQ","16-Feb-2018","        822.30","        823.50","        829.80","        821.20","        827.00","        825.10","        826.03","     589728","           487134798.30","      14879"
"LUPIN","EQ","19-Feb-2018","        825.10","        825.90","        835.00","        807.00","        813.30","        814.40","        820.48","    1260233","          1033995198.25","      29210"
"LUPIN","EQ","20-Feb-2018","        814.40","        812.00","        822.40","        810.00","        815.85","        815.80","        817.49","     740252","           605145723.05","      17920"
"LUPIN","EQ","21-Feb-2018","        815.80","        816.80","        827.95","        811.50","        814.00","        813.95","        816.72","    1184810","           967657788.10","      31260"
"LUPIN","EQ","22-Feb-2018","        813.95","        813.00","        815.50","        796.25","        801.10","        800.05","        807.70","    1669008","          1348058219.25","      50862"
"LUPIN","EQ","23-Feb-2018","        800.05","        803.10","        814.80","        803.10","        809.35","        807.50","        809.44","    1754473","          1420140133.85","      42701"
"LUPIN","EQ","26-Feb-2018","        807.50","        813.00","        824.50","        810.15","        822.00","        821.30","        817.73","    1034951","           846313623.35","      26087"
"LUPIN","EQ","27-Feb-2018","        821.30","        824.70","        831.45","        819.15","        826.00","        826.30","        826.17","     976292","           806585411.10","      32804"
"LUPIN","EQ","28-Feb-2018","        826.30","        823.90","        828.90","        815.10","        822.00","        819.95","        821.31","     882036","           724427835.95","      39525"
"LUPIN","EQ","01-Mar-2018","        819.95","        820.00","        824.25","        802.30","        804.00","        803.90","        809.78","    1311644","          1062146301.90","      45135"
"LUPIN","EQ","05-Mar-2018","        803.90","        804.00","        806.00","        789.00","        790.00","        790.15","        792.76","    1944252","          1541331062.20","      51990"
"LUPIN","EQ","06-Mar-2018","        790.15","        792.00","        795.00","        768.40","        770.55","        773.40","        780.73","    2526715","          1972683226.55","      76323"
"LUPIN","EQ","07-Mar-2018","        773.40","        772.00","        773.40","        756.00","        762.70","        761.75","        763.06","    1288034","           982845235.95","      36490"
"LUPIN","EQ","08-Mar-2018","        761.75","        765.00","        774.40","        750.15","        770.90","        771.15","        763.21","    1345222","          1026690681.35","      36767"
"LUPIN","EQ","09-Mar-2018","        771.15","        775.00","        781.00","        762.00","        764.05","        764.50","        773.10","     813679","           629053246.30","      28611"
"LUPIN","EQ","12-Mar-2018","        764.50","        768.00","        773.70","        761.20","        772.00","        769.80","        768.51","    1174238","           902416439.20","      20560"
"LUPIN","EQ","13-Mar-2018","        769.80","        770.00","        784.90","        768.60","        780.90","        780.60","        779.48","     881387","           687026001.70","      21920"
"LUPIN","EQ","14-Mar-2018","        780.60","        779.90","        786.80","        777.55","        781.50","        781.55","        782.12","     698211","           546084347.35","      23696"
"LUPIN","EQ","15-Mar-2018","        781.55","        781.00","        792.00","        773.80","        774.20","        776.65","        784.97","     834688","           655201340.00","      25384"
"LUPIN","EQ","16-Mar-2018","        776.65","        776.50","        783.90","        760.00","        761.90","        761.85","        767.29","    1419793","          1089398349.90","      49154"
"LUPIN","EQ","19-Mar-2018","        761.85","        766.40","        772.60","        759.30","        765.30","        766.60","        767.13","    1196025","           917503612.45","      27250"
"LUPIN","EQ","20-Mar-2018","        766.60","        760.00","        774.00","        757.25","        772.25","        771.75","        768.26","     975082","           749114654.05","      21657"
"LUPIN","EQ","21-Mar-2018","        771.75","        771.70","        780.00","        765.00","        768.80","        767.85","        773.81","     758910","           587249073.40","      25619"
"LUPIN","EQ","22-Mar-2018","        767.85","        769.00","        775.00","        757.00","        757.00","        758.50","        765.52","     729009","           558067779.70","      24483"
"LUPIN","EQ","23-Mar-2018","        758.50","        751.00","        752.95","        731.45","        734.00","        734.50","        738.77","    1701513","          1257019886.30","      67569"
"LUPIN","EQ","26-Mar-2018","        734.50","        734.50","        744.00","        727.10","        740.10","        740.15","        736.58","    1276440","           940201294.85","      26380"
"LUPIN","EQ","27-Mar-2018","        740.15","        740.80","        752.80","        740.80","        750.00","        748.75","        748.44","     949924","           710957276.90","      19661"
"LUPIN","EQ","28-Mar-2018","        748.75","        749.20","        755.70","        732.85","        736.40","        735.85","        743.34","    2223129","          1652550932.30","      60404"
"LUPIN","EQ","02-Apr-2018","        735.85","        742.80","        779.90","        740.00","        779.00","        777.10","        764.94","    2124403","          1625035991.35","      60968"
"LUPIN","EQ","03-Apr-2018","        777.10","        773.00","        799.00","        766.35","        787.80","        788.50","        788.81","    2357152","          1859338024.40","      51068"
"LUPIN","EQ","04-Apr-2018","        788.50","        792.00","        796.30","        771.10","        777.00","        775.20","        785.30","    1480947","          1162993229.60","      34050"
"LUPIN","EQ","05-Apr-2018","        775.20","        783.00","        790.00","        779.55","        787.40","        786.70","        785.84","     660905","           519367925.40","      16435"
"LUPIN","EQ","06-Apr-2018","        786.70","        788.00","        842.80","        785.30","        808.95","        809.05","        815.78","    5616503","          4581844068.80","     105417"
"LUPIN","EQ","09-Apr-2018","        809.05","        809.80","        818.20","        791.00","        794.50","        793.85","        802.25","    1897323","          1522130316.20","      72365"
"LUPIN","EQ","10-Apr-2018","        793.85","        799.00","        805.00","        785.65","        790.60","        789.70","        793.03","    1135605","           900567290.35","      32550"
"LUPIN","EQ","11-Apr-2018","        789.70","        792.00","        798.90","        781.10","        788.00","        789.65","        789.82","    1208659","           954621964.05","      29992"
"LUPIN","EQ","12-Apr-2018","        789.65","        785.35","        788.75","        772.00","        773.00","        773.35","        776.98","    1138426","           884528727.85","      46575"
"LUPIN","EQ","13-Apr-2018","        773.35","        774.00","        782.75","        773.95","        779.50","        779.85","        778.76","    1070284","           833497244.20","      24724"
"LUPIN","EQ","16-Apr-2018","        779.85","        771.00","        797.50","        770.80","        794.00","        794.40","        791.90","    1703440","          1348956703.20","      43355"
"LUPIN","EQ","17-Apr-2018","        794.40","        795.10","        809.00","        795.10","        804.80","        805.05","        803.63","    2205548","          1772434733.05","      59259"
"LUPIN","EQ","18-Apr-2018","        805.05","        810.00","        813.05","        787.50","        790.95","        790.55","        800.48","    1273598","          1019492057.15","      29756"
"LUPIN","EQ","19-Apr-2018","        790.55","        792.15","        795.00","        783.00","        791.95","        790.35","        788.60","     892965","           704192373.00","      19355"
"LUPIN","EQ","20-Apr-2018","        790.35","        790.00","        801.60","        785.10","        800.00","        799.90","        795.91","    1414151","          1125530712.95","      53926"
"LUPIN","EQ","23-Apr-2018","        799.90","        799.00","        817.90","        797.40","        812.90","        811.85","        810.03","    2168704","          1756715136.20","      43169"
"LUPIN","EQ","24-Apr-2018","        811.85","        815.85","        832.95","        814.00","        819.40","        819.75","        825.19","    2164708","          1786287887.25","      49101"
"LUPIN","EQ","25-Apr-2018","        819.75","        814.20","        825.00","        811.50","        813.05","        814.70","        817.35","     739684","           604580761.15","      19906"
"LUPIN","EQ","26-Apr-2018","        814.70","        813.00","        819.95","        789.70","        793.00","        792.70","        799.82","    2498590","          1998421156.05","      53934"
"LUPIN","EQ","27-Apr-2018","        792.70","        794.00","        805.80","        787.10","        801.10","        801.45","        798.97","    1357939","          1084949357.00","      33743"
"LUPIN","EQ","30-Apr-2018","        801.45","        805.00","        819.90","        803.00","        810.10","        811.55","        813.25","     990926","           805875203.40","      23202"
"LUPIN","EQ","02-May-2018","        811.55","        814.00","        819.45","        796.00","        800.50","        800.55","        806.88","     685644","           553235580.70","      19169"
"LUPIN","EQ","03-May-2018","        800.55","        800.00","        801.45","        785.25","        796.65","        797.95","        794.46","     641614","           509738918.65","      21537"
"LUPIN","EQ","04-May-2018","        797.95","        799.00","        805.25","        788.60","        797.00","        795.60","        795.20","     870956","           692586245.30","      28042"
"LUPIN","EQ","07-May-2018","        795.60","        785.00","        787.00","        763.00","        774.85","        773.90","        773.11","    1945747","          1504284310.40","      44333"
"LUPIN","EQ","08-May-2018","        773.90","        782.80","        786.80","        772.50","        774.00","        774.85","        778.11","    1360778","          1058840291.30","      32257"
"LUPIN","EQ","09-May-2018","        774.85","        775.00","        779.50","        759.10","        763.90","        762.15","        769.48","    1058888","           814791965.00","      39359"
"LUPIN","EQ","10-May-2018","        762.15","        765.60","        773.50","        751.15","        754.50","        755.55","        764.73","    1388309","          1061681028.25","      47316"
"LUPIN","EQ","11-May-2018","        755.55","        761.50","        761.50","        743.55","        752.40","        752.45","        750.52","    1188722","           892160206.95","      56928"
"LUPIN","EQ","14-May-2018","        752.45","        752.50","        777.00","        750.00","        753.00","        754.20","        762.52","    1709787","          1303749105.20","      37654"
"LUPIN","EQ","15-May-2018","        754.20","        755.00","        773.00","        723.65","        763.50","        750.80","        750.70","    5816366","          4366350251.90","     111691"
"LUPIN","EQ","16-May-2018","        750.80","        751.50","        772.00","        750.10","        767.75","        766.50","        763.23","    3129549","          2388580889.10","      69185"
"LUPIN","EQ","17-May-2018","        766.50","        767.75","        771.80","        754.50","        763.00","        762.95","        762.92","    1404732","          1071697085.80","      33077"
"LUPIN","EQ","18-May-2018","        762.95","        764.00","        768.05","        741.80","        743.40","        743.70","        751.26","    1185047","           890274152.05","      34571"
"LUPIN","EQ","21-May-2018","        743.70","        744.40","        745.30","        735.00","        735.90","        736.25","        738.13","     984687","           726830675.75","      29483"
"LUPIN","EQ","22-May-2018","        736.25","        735.00","        745.45","        725.20","        743.00","        740.10","        734.73","    1078032","           792062734.10","      49949"
"LUPIN","EQ","23-May-2018","        740.10","        745.20","        749.90","        733.10","        734.20","        734.90","        740.92","     744439","           551571148.75","      24342"
"LUPIN","EQ","24-May-2018","        734.90","        738.00","        747.00","        729.90","        743.90","        742.35","        741.22","    1013294","           751069211.60","      31434"
"LUPIN","EQ","25-May-2018","        742.35","        743.05","        747.35","        733.10","        745.00","        745.60","        740.46","    1431158","          1059716301.50","      47946"
"LUPIN","EQ","28-May-2018","        745.60","        747.50","        785.95","        747.50","        782.50","        782.50","        773.85","    2532534","          1959812477.85","      58932"
"LUPIN","EQ","29-May-2018","        782.50","        782.50","        798.90","        768.95","        780.00","        781.05","        785.98","    2602320","          2045379984.85","      83946"
"LUPIN","EQ","30-May-2018","        781.05","        770.00","        790.40","        770.00","        779.20","        779.20","        781.15","    1236513","           965906991.25","      38218"
"LUPIN","EQ","31-May-2018","        779.20","        784.95","        784.95","        765.65","        775.00","        770.35","        773.18","    1994980","          1542471880.95","      49571"
"LUPIN","EQ","01-Jun-2018","        770.35","        770.75","        781.90","        761.60","        764.45","        764.45","        770.43","    1297715","           999799016.95","      38994"
"LUPIN","EQ","04-Jun-2018","        764.45","        766.70","        780.00","        753.40","        774.95","        773.95","        770.64","    1801475","          1388288792.95","      46511"
"LUPIN","EQ","05-Jun-2018","        773.95","        775.45","        778.40","        745.10","        763.00","        760.25","        763.44","    1363084","          1040629583.70","      44102"
"LUPIN","EQ","06-Jun-2018","        760.25","        760.00","        776.85","        756.25","        769.95","        770.05","        770.60","    1131792","           872158732.65","      41772"
"LUPIN","EQ","07-Jun-2018","        770.05","        771.60","        776.00","        761.60","        766.60","        767.35","        768.61","     957228","           735735381.70","      31035"
"LUPIN","EQ","08-Jun-2018","        767.35","        764.80","        824.00","        763.05","        808.40","        810.05","        801.58","    4904878","          3931652757.00","      99783"
"LUPIN","EQ","11-Jun-2018","        810.05","        811.00","        829.90","        804.30","        809.00","        809.50","        818.00","    3448600","          2820946881.35","      74155"
"LUPIN","EQ","12-Jun-2018","        809.50","        815.00","        861.90","        811.00","        861.15","        855.00","        843.02","    8989742","          7578566045.10","     198295"
"LUPIN","EQ","13-Jun-2018","        855.00","        865.00","        882.00","        862.00","        873.30","        871.90","        874.05","    6576519","          5748224350.55","     132639"
"LUPIN","EQ","14-Jun-2018","        871.90","        877.95","        904.50","        863.20","        903.00","        899.60","        884.83","    6617748","          5855566317.75","     124855"
"LUPIN","EQ","15-Jun-2018","        899.60","        910.00","        924.50","        901.25","        909.10","        913.20","        915.50","    8180351","          7489122746.65","     160372"
"LUPIN","EQ","18-Jun-2018","        913.20","        910.80","        917.00","        887.20","        905.65","        902.20","        901.31","    3507092","          3160982592.75","      71195"
"LUPIN","EQ","19-Jun-2018","        902.20","        902.00","        921.00","        894.05","        901.10","        897.85","        906.86","    4731384","          4290718416.30","      95358"
"LUPIN","EQ","20-Jun-2018","        897.85","        905.95","        912.95","        896.00","        897.55","        899.85","        901.78","    2626824","          2368826831.75","      63471"
"LUPIN","EQ","21-Jun-2018","        899.85","        907.60","        907.60","        891.00","        900.00","        899.65","        898.02","    2196762","          1972744953.00","      53488"
"LUPIN","EQ","22-Jun-2018","        899.65","        898.00","        909.30","        881.65","        904.00","        902.90","        897.67","    3661231","          3286588718.15","      78854"
"LUPIN","EQ","25-Jun-2018","        902.90","        904.60","        920.00","        904.15","        915.00","        913.45","        914.46","    3544163","          3240990460.15","      73505"
"LUPIN","EQ","26-Jun-2018","        913.45","        916.90","        921.60","        899.55","        900.00","        902.35","        909.57","    2312136","          2103047293.00","      66657"
